siteID,NumPeaks,MaxPSD,pheno_var,MV_ModTerra_Mean,MV_ModTerra_Max,MV_ModAqua_Mean,MV_ModAqua_Max,MV_Landsat_Mean,MV_Landsat_Max
5491,6,0.134740722,0.511889777,29.70795961,13.42089124,29.06991733,29.59873365,15.6655159,14.74987104
5492,5,0.192919521,0.572114997,39.04967728,16.45705453,21.35734405,20.98819197,11.13374911,13.39131372
5493,5,0.18083454,0.584083206,33.72609043,17.88425327,35.75387613,25.45815482,11.96784468,18.08551243
5494,8,0.337189513,1.958188568,1.140147009,3.447028615,0.311498125,6.54075228,5.234057103,10.14602838
5495,8,0.18222398,0.7591294,8.701574934,6.916353038,8.422220273,21.29395774,8.354179884,6.372426985
5496,4,0.187367905,0.677498129,17.28743313,17.30155262,29.55259287,13.22166473,13.11826526,16.92233904
5497,6,0.28180422,0.655243331,25.28384568,30.13562412,29.60536224,15.67369759,10.36599686,17.76325729
5498,5,0.18083454,0.584083206,61.51386764,16.68367758,41.17506231,39.80522771,15.43038744,25.3856976
5499,5,0.199894124,0.512237367,61.68766667,16.21320679,36.76311174,19.74745559,12.29852006,23.80352968
5500,7,1.182551543,5.957125286,10.47085165,10.4106777,11.04224529,6.466647062,9.105927299,11.10585183
5501,6,0.273865912,0.845944076,23.4919505,33.57285186,24.64850589,16.12426604,22.95280755,36.88943875
5502,5,0.247235399,0.821593944,7.440758136,7.190496345,3.73239977,9.583131555,12.2699589,14.54857874
5503,4,0.477138915,1.007285009,12.67414124,20.77455679,19.12230969,50.17016537,18.06115548,25.33687244
5504,6,0.385928197,1.150168247,14.85853046,43.04215362,14.50286789,37.77301151,19.37953827,17.22164504
5505,3,0.177638461,1.199842772,13.67032417,30.21573208,14.6432417,41.83649055,25.71880501,22.68797982
5506,7,0.260192736,1.518790258,18.32640058,53.18267981,13.43449314,46.79730389,8.768209619,19.04040036
5507,6,0.388559712,1.847585232,18.22544521,38.90321832,17.1594998,36.42069871,10.97260246,109.1774586
5508,5,0.260268225,1.651085266,15.15161308,63.53080942,20.83134486,38.33530039,6.888938038,20.88272984
5509,6,0.258239446,1.520346442,22.54166481,70.18776895,16.35891263,60.48256344,10.91741979,42.62518822
